genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,data
Movie,Henri Salvador,C'est beau de faire un Show,0BRjO6ga9RKCKjfDqeFgWV,0.0,0.611,0.389,99373,0.91,0.0,C#,0.346,-1.828,Major,0.0525,166.969,4/4,0.814,"[     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 13240, 19859, 41967, 50261, 56080,105584,112912]"
Movie,Martin & les fées,Perdu d'avance (par Gad Elmaleh),0BjC1NfoEOOusryehmNudP,1.0,0.246,0.59,137373,0.737,0.0,F#,0.151,-5.559,Minor,0.0868,174.003,4/4,0.816,"[ 6271, 6274, 6277, 6278, 6279, 6284, 6286, 6287, 6290, 6291, 6293, 6297, 6299, 6301, 6302, 6303, 6304, 6307, 6320, 6322, 6323, 6324, 6326, 6327, 6328, 6329, 6345, 6346, 6347, 6350, 6351, 6352, 6357, 6360, 6361, 6364, 6370, 6373, 6376, 6381, 6382, 6386, 6389, 6391, 6395, 6397, 6399, 6401, 6403, 6405, 6406, 6409, 6410, 6414, 6474, 6475, 6476, 6482, 6483, 6484, 6485, 6486, 6487, 6488, 6490, 6492, 6568, 6569, 6573, 6576, 6577, 6584, 6678, 6685, 6780, 6789, 6790, 6798, 6799, 6808, 6815, 6816, 6825, 6827, 7107, 7130, 7520, 7526, 7529, 7531, 7534, 7536, 7557, 7617, 7620, 7624, 7626, 7629, 7633, 7642, 7645, 7654, 7655, 7657, 7669, 7671, 7673, 7674, 7676, 7677, 7681, 7685, 7694, 7706, 8470, 8473, 8476, 8478, 8483, 8487, 8497, 8500, 8501, 8507, 8509, 8511, 8512, 8518, 8521, 8522, 8528, 8531, 8548, 8551, 8557, 8558, 8571, 8572, 8573, 8579, 8586, 8587, 8589, 8592, 8609, 8612, 8622, 8623, 8625, 8675, 8687, 8825, 8974, 9076, 9091, 9171, 9174, 9184, 9224, 9271, 9272, 9273, 9301, 9323, 9336, 9338, 9365, 9371, 9372, 9373, 9374, 9375, 9390, 9396, 9398, 9424, 9425, 9431, 9433, 9470, 9472, 9573, 9574, 9577, 9579, 9580, 9591, 9612, 9623, 9625, 9626, 9627, 9672, 9722, 9752, 9775, 9777, 9779, 9791, 9832, 9869, 9968, 9969, 9970, 9978, 9980, 9986, 9992,10029,10039,10040,10041,10047,10048,10049,10055,10056,10074,10075,10077,10078,10082,10083,10084,10093,10104,10105,10109,10115,10117,10221,10222,10223,10268,10269,10271,10275,10276,10320,10367,10370,10401,10473,10475,10476,10572,10574,10670,10671,10719,10769,10774,10819,10868,10918,10966]"
Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,0CoSDzoNIKCRs124s9uTVy,3.0,0.952,0.663,170267,0.131,0.0,C,0.103,-13.879,Minor,0.0362,99.488,5/4,0.368,"[ 39835, 39836, 39840, 39847, 39858, 39859, 39863, 39888, 53062, 53064, 53074, 53078, 53081, 59486, 59500, 59502, 59509, 59511, 59513, 59514, 59567, 59569, 59570, 59576, 59610, 59611, 59613, 59615, 59639, 66728, 66737, 66741, 66742, 66744, 66746, 66754, 66761, 66763, 66768, 66771, 66772, 66773, 66783, 66784, 66788, 66796, 66809, 66811, 66812, 66814, 66823, 66824, 66827, 66831, 66834, 66836, 66840, 66844, 66846, 66848, 66849, 66850, 66852, 66856, 66857, 66858, 66862, 66864, 66865, 66866, 66873, 66874, 66876, 66877, 66879, 66881, 66883, 66884, 66889, 66892, 66897, 66902, 66905, 66908, 66912, 66917, 66918, 66920, 66921, 66925, 66928, 66933, 66935, 66936, 66938, 66942, 66945, 66946, 66947, 66950, 66954, 66958, 66959, 66962, 66964, 66973, 66974, 66976, 66981, 66985, 66986, 66988, 66991, 66993, 66995, 66998, 67004, 67005, 67010, 67013, 67014, 67015, 67017, 67041, 67061, 70775, 70778, 70805, 70807, 70812, 70814, 70815, 70818, 70821, 70823, 70836, 70838, 70840, 70842, 70843, 70845, 70855, 70856, 70861, 70866, 70869, 70870, 70872, 70877, 70880, 70883, 70885, 70890, 70892, 70894, 70899, 70901, 70910, 70912, 70915, 70917, 70929, 70931, 79379, 89227, 89238, 89246, 89262, 89263, 89264, 89277, 89280, 89287, 89288, 89289, 89297, 89304, 89308, 89312, 89313, 89316, 89318, 89332, 89338, 89339, 89341, 89345, 89349, 89354, 89358, 89380, 89384, 89391, 89395, 89409, 89411,100092,100106,100109,100153,100154,100160,100166,100167,100169,100170,100180,100182,100183,100185,100199,100215,100221,100225,100231,100235,106182,106184,106192,106193,106199,106201,106236,106258,106261,106263,106265,106284,106297,106299,106300,106309,106312,106314,106316,106318,106319,106321,106323,106326,106328,106334,106336,106341,106346,106351,106362,106365,106367,106372,106395,106397,106399,106402,106414,106417]"
Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0Gc6TVm52BwZD07Ki6tIvf,0.0,0.703,0.24,152427,0.326,0.0,C#,0.0985,-12.178,Major,0.0395,171.758,4/4,0.227,"[ 7414, 7415, 7420, 7421, 7423, 7424, 7427, 7429, 7431, 7433, 7436, 7438, 7440, 7442, 7447, 7449, 7450, 7451, 7453, 7459, 7465, 7466, 7469, 7472, 7474, 7477, 7478, 7479, 7483, 7484, 7487, 7494, 7496, 7502, 7504, 7505, 7506, 7508, 7509, 7510, 7514, 7517, 7520, 7527, 7529, 7532, 7535, 7536, 7539, 7544, 7548, 7550, 7551, 7553, 7554, 7557, 7561, 7562, 7565, 7569, 7570, 7572, 7574, 7579, 7582, 7584, 7585, 7589, 7591, 7593, 7595, 7597, 7600, 7602, 7606, 7608, 7611, 7612, 7614, 7616, 7618, 7621, 7624, 7626, 7638, 7642, 7652, 7655, 7658, 7662, 7663, 7677, 7679, 7681, 7684, 7685, 7692, 7693, 7696, 7700, 7703, 7704, 7707, 7708, 7709, 7714, 7726, 7729, 7736, 7743, 7744, 7748, 7749, 7753, 7756, 7760, 7764, 7768, 7770, 7773, 7775, 7778, 7781, 7783, 7784, 7788, 7789, 7790, 7792, 7797, 7798, 7800, 7803, 7807, 7809, 7811, 7812, 7814, 7819, 7820, 7822, 7825, 7827, 7829, 7833, 7834, 7837, 7839, 7840, 7841, 7843, 7845, 7849, 7854, 7856, 7861, 7863, 7864, 7870, 7873, 7875, 7876, 7878, 7885, 7889, 7890, 7894, 7897, 7901, 7903, 7905, 7910, 7914, 7919, 7923, 7925, 7926, 7927, 7933, 7935, 7937, 7945, 7947, 7949, 7950, 7959, 7961, 7971, 7972, 7980, 7981, 7986, 7988, 7989, 7992, 7997, 8000, 8001, 8007, 8009, 8021, 8024, 8032, 8033, 8037, 8043, 8047, 8055, 8057, 8065, 8081, 8093, 8127, 8140, 8144, 8147, 8338, 8339, 8343, 8348, 8349, 8357, 8362, 8371,10587,10591,10597,10618,10620,10632,10633,10637,10641,10645,11184,11185,11188,11189,11197,11201,11216,11219,11220,11223,11236,11237,11240,11252,11256,11260,11264,11265,11269,11272,11290,11294]"
Movie,Fabien Nataf,Ouverture,0IuslXpMROHdEPvSl1fTQK,4.0,0.95,0.331,82625,0.225,0.123,F,0.202,-21.15,Major,0.0456,140.576,4/4,0.39,"[14592,14595,14597,14607,14609,14615,14617,14628,14630,14632,14636,14638,14642,14654,14659,14661,14664,14669,16381,16390,16394,16401,16424,16429,16432,16441,16444,16495,19413,19422,19425,19427,19433,19436,19439,19472,19520,19674,19712,20646,21536,21540,21545,21549,21585,21586,21736,21762,21766,21768,21783,21787,21791,21799,21802,21817,21825,21830,21878,21882,21924,21928,21929,21932,21933,21939,21943,21944,21950,21951,21955,21965,21969,22022,22023,22026,22027,22030,22037,22046,22047,22050,22051,22053,22054,22061,22064,22065,22068,22069,22081,22085,22086,22089,22091,22111,22115,22116,22119,22120,22125,22129,22139,22147,24289,24292,24295,24296,24323,24338,24380,24381,24384,24395,24398,24399,24401,24406,24411,24439,24442,24450,24453,24457,24468,24469,24472,24481,24484,24487,24490,24491,24493,24498,24500,24503,24515,24519,24546,24549,24554,24567,24568,24603,27087,27139,29301,32698,32701,32724,32738,32742,32745,32748,32754,32765,32768,32771,32777,32778,32780,32782,32785,32788,32791,32795,32798,32803,32805,32806,32809,32812,32815,32818,32821,32835,32838,32839,32841,32843,32858,32861,32862,32864,32865,32867,32868,32875,32879,32880,32884,32888,32892,32893,32894,32898,32903,32907,32908,32919,32926,32928,32930,32931,32932,32935,32936,32940,32942,32943,32947,32951,32959,32962,32963,32966,32974,32980,32989,32990,33001,33009,33024,36629,39183,39234,39236,39329,43535,43536,43540,43541,43636,43637,43641,43646,43654,43655,43658,43659,43668,43728,43732,43746,43755,43756,43757,43758,43762,43770,43847,43852,43855,44056,49084,49141]"
Movie,Henri Salvador,Le petit souper aux chandelles,0Mf1jKa8eNAf1a4PwTbizj,0.0,0.749,0.578,160627,0.0948,0.0,C#,0.107,-14.97,Major,0.143,87.479,4/4,0.358,"[21398,21400,21402,21403,21404,21406,21408,21427,21432,21437,21438,21439,21440,21442,21443,21444,21448,21449,21454,21455,21466,21469,21470,21474,21476,21478,21480,21486,21490,21498,21500,21502,21513,21518,21520,21524,21526,21532,21534,21536,21537,21538,21544,21549,21550,21556,21561,21564,21571,21578,21579,21580,21582,21589,21592,21594,21595,21596,21607,21608,21609,21610,21619,21620,21622,21629,21640,21641,21646,21648,21650,21658,21671,21688,21693,21695,21696,21700,21706,21711,21728,21729,21736,21754,21759,21769,21772,21776,21779,21787,21805,21812,21823,21824,21851,21860,21861,21867,21868,21879,21909,21919,21945,21957,21962,21963,22033,22036,22038,22102,22111,23060,23104,23377,23485,23494,23510,23525,23563,23570,23578,23580,23633,23648,23649,23718,23734,23741,23746,23762,23763,23764,23939,23940,23947,23951,23984,23988,23989,23993,24031,24035,24039,24048,24052,24056,24057,24058,24061,24065,24068,24075,24109,24112,24116,24124,24131,24132,24133,24149,24153,24154,24161,24166,24168,24175,24214,24216,24312,24319,24324,24334,24337,24341,24342,24366,24404,24415,24419,24420,24423,24433,24434,24470,24489,24500,24515,24516,24537,24542,26530,26531,26637,26759,26762,26777,26783,26789,26790,26802,26817,26832,26833,26835,26842,26854,26879,26959,26961,26962,26965,26980,27009,27017,27020,27041,27048,27049,27060,27070,27071,27078,27079,27108,27109,27124,27150,27154,27160,27164,31860,31863,31866,31900,31905,31906,31907,31908,31967,31968,31969,31977,31981,32014,32017,32018,32087,32089,32094,32095,32101,32110,32126,32132,32133,35888]"
Movie,Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)",0NUiKYRd6jt1LKMYGkUdnZ,2.0,0.344,0.703,212293,0.27,0.0,C#,0.105,-12.675,Major,0.953,82.873,4/4,0.533,0
Movie,Laura Mayne,Let Me Let Go,0PbIF9YVD505GutwotpB5C,15.0,0.939,0.416,240067,0.269,0.0,F#,0.113,-8.949,Major,0.0286,96.827,4/4,0.274,"[56008,56012,56016,56021,56023,56032,56033,56037,56040,56041,56042,56044,56045,56046,56052,56054,56055,56058,56066,56067,56072,56076,56077,56083,56084,56090,56091,56099,56100,56102,56110,56111,56116,56122,56124,56127,56129,56130,56134,56138,56146,56157,56159,56161,56167,56193,56197,56200,56210,56214,56226,56230,56237,56243,56244,56246,56253,56258,56268,56277,56279,56281,56283,56290,56293,56408,56429,59022,59027,59046,59049,59054,59088,59090,59095,59096,59116,59130,59164,59170,59178,59183,59184,59185,59189,59190,59192,59193,59198,59201,59204,59208,59209,59210,59214,59218,59219,59226,59228,59230,59231,59232,59233,59237,59242,59245,59246,59250,59254,59255,59259,59262,59265,59270,59274,59276,59278,59279,59280,59285,59291,59294,59295,59298,59300,59301,59303,59307,59309,59312,59315,59317,59319,59323,59330,59332,59335,59337,59340,59341,59351,59354,59358,59365,59380,59421,59424,59426,59427,59432,59452,59456,59461,59469,59478,59487,66494,66496,66501,66516,66518,66522,66523,66524,66525,66542,66545,66547,66566,66567,66570,66586,66594,66595,66599,66603,66608,66609,66624,66630,66631,66655,66659,66665,66668,66718,66727,66743,66745,66813,66821,66828,67065,67073,67078,67086,67098,67154,67167,67983,68292,69221,69236,69320,74626,74630,74646,74654,74658,74662,74666,74689,74693,74696,74704,74705,74709,74710,74722,74725,74748,74820,74824,74831,74836,74840,74845,74849,74850,74872,74878,74884,74885,74890,74900,74912,74920,74928,88756,88759,88760,88765,88780,88792,88794,88797,88837,88841,88844,88860,88865,88868,88870,88871,88878,88882]"
Movie,Chorus,Helka,0ST6uPfvaPpJLtQwhE6KfC,0.0,0.00104,0.734,226200,0.481,0.00086,C,0.0765,-7.725,Major,0.046,125.08,4/4,0.765,"[14564,14565,14567,14570,14573,14576,14586,14589,14590,14592,14594,14599,14600,14613,14617,14618,14620,14621,14625,14630,14636,14637,14639,14648,14650,14652,14654,14655,14657,14659,14662,14668,14671,14674,14680,14681,14684,14691,14695,14700,14701,14702,14705,14709,14711,14712,14718,14719,14723,14727,14728,14730,14732,14735,14737,14738,14741,14742,14743,14745,14747,14748,14751,14752,14753,14754,14759,14762,14770,14771,14774,14776,14777,14779,14780,14783,14784,14788,14791,14794,14795,14798,14799,14800,14804,14805,14807,14808,14809,14810,14811,14817,14819,14820,14821,14827,14829,14830,14831,14833,14834,14836,14837,14841,14843,14855,14859,14862,14864,14867,14869,14870,14871,14872,14878,14879,14880,14887,14889,14891,14895,14900,14903,14905,14908,14914,14918,14920,14922,14926,14934,14936,14937,14939,14940,14943,14946,14950,14954,14958,14960,14961,14963,14967,14968,14974,14976,14978,14979,14981,14988,14992,14995,14997,15002,15008,15013,15024,15026,15028,15037,15043,15044,15045,15049,15052,15053,15054,15056,15058,15059,15068,15072,15074,15079,15082,15084,15087,15089,15091,15093,15094,15098,15099,15100,15102,15103,15104,15105,15116,15117,15118,15119,15129,15136,15141,15142,15145,15147,15157,15159,15170,15179,15189,15193,15195,15202,15203,15204,15207,15213,15238,15749,15757,15765,15771,15800,15801,15811,16031,16036,16086,16236,16242,16307,16366,19694,19705,19728,19731,19737,19742,19745,19757,19759,19762,19787,19792,19803,19805,19808,19819,19932,20110,22039,22099,22104,22143,22146,22151,22158,22163,22167,22178,22259,22397]"
Movie,Le Club des Juniors,Les bisous des bisounours,0VSqZ3KStsjcfERGdcWpFO,10.0,0.319,0.598,152694,0.705,0.00125,G,0.349,-7.79,Major,0.0281,137.496,4/4,0.718,"[ 7724, 7726, 7733, 7736, 7737, 7763, 7826, 7827, 7864, 7866, 7867, 7881, 7899, 7901, 7902, 7912, 7913, 7914, 7915, 7916, 7917, 7941, 7942, 7952, 7954, 7955, 7965, 8044, 8045, 8065, 8085, 8086, 8121, 8126, 8132, 8133, 8134, 8143, 8153, 8173, 8174, 8187, 8192, 8198, 8199, 8233, 8254, 8260, 8261, 8282, 8283, 8396, 8397, 8398, 8399, 8402, 8746, 8747, 9095, 9096, 9128, 9140, 9141, 9143, 9200, 9204, 9205, 9206, 9209, 9215, 9263, 9305, 9336, 9342, 9345, 9349, 9351, 9437, 9438, 9439, 9441, 9442, 9443, 9444, 9507, 9794, 9801,10145,10146,10147,10148,10149,10150,10151,10153,10160,10162,10163,10165,10168,10170,10171,10173,10176,10178,10207,10246,10469,10471,10479,10483,10484,10485,10486,10487,10488,10489,10490,10491,10492,10493,10494,10505,10506,10516,10517,10523,10527,10548,10549,10550,10556,10567,10591,10599,10602,10611,10625,10653,10731,10733,10735,10737,10738,10741,10742,10745,10766,10767,10768,10782,10789,10790,10798,10799,10802,10804,10806,10809,10810,10811,10816,10817,10818,10844,10852,10853,10953,10954,10955,11135,11137,11138,11141,11174,11179,11180,11181,11182,11183,11185,11186,11189,11190,11191,11192,11193,11207,11223,11225,11226,11894,11895,11896,11928,11929,11930,11972,11973,11974,12593,12674,12698,12701,13292,13336,13643,13645,13751,13993,13994,13995,14206,14207,14209,14342,14692,14733,14820,14824,14829,14869,14875,14877,14880,14881,14883,14884,14885,14888,14889,14893,14899,14902,14910,14915,14918,14920,15140,15141,15144,15227,15237,15246,15252,15256,15260,15261,15265,15266,15268,15270,15276,15279,15282,15287]"
